id_x,courseId,enrollmentDate,completionStatus,completionDate,percentage,userId,learningPathId,name,employeeId,organizationDomainId_x,roleId,joiningDate,designationId,departmentId,id_y,title,duration,difficultyLevel,organizationDomainId_y,id,completionTime,performanceScore,organizationDomainId
173,6,2023-12-18,Completed,2024-06-11,69,EMP0802,7.0,Brent Sutton,EMP0802,2,1,2021-01-18,2,2,6,Course 6,37,Advanced,2,,,,
174,9,2019-11-16,In Progress,,5,EMP0344,4.0,Marc Ortiz Jr.,EMP0344,2,1,2020-03-20,2,2,9,Course 9,47,Advanced,2,,,,
175,13,2022-09-17,Completed,2024-09-15,64,EMP0003,9.0,Gabriel Singh,EMP0003,1,1,2024-04-27,1,2,13,Course 13,54,Beginner,2,,,,
176,11,2021-06-03,In Progress,,14,EMP0860,,Ricardo Rodriguez,EMP0860,2,2,2022-03-30,2,2,11,Course 11,42,Beginner,1,,,,
177,23,2022-06-08,In Progress,,18,EMP0806,,Brian Gordon,EMP0806,2,1,2023-01-06,2,2,23,Course 23,41,Intermediate,1,,,,
178,21,2024-05-04,In Progress,,41,EMP0319,8.0,Amy Olson,EMP0319,1,2,2020-09-06,1,2,21,Course 21,109,Intermediate,1,,,,
179,35,2021-09-01,In Progress,,49,EMP0409,6.0,Jessica Lee,EMP0409,1,1,2024-03-18,1,2,35,Course 35,56,Advanced,2,,,,
180,25,2020-08-28,In Progress,,15,EMP0955,,Caitlin Nelson,EMP0955,2,2,2022-10-09,2,2,25,Course 25,83,Advanced,1,,,,
181,26,2022-03-08,Completed,2022-11-04,77,EMP0675,,Scott Garcia,EMP0675,2,1,2020-10-11,2,1,26,Course 26,110,Beginner,2,,,,
182,45,2021-04-14,In Progress,,13,EMP0694,2.0,Bethany Nguyen,EMP0694,2,2,2023-10-10,2,1,45,Course 45,51,Intermediate,2,,,,
183,50,2020-06-26,In Progress,,45,EMP0209,,Bonnie Hanson,EMP0209,2,1,2020-07-19,1,2,50,Course 50,87,Intermediate,2,,,,
184,39,2020-11-29,In Progress,,31,EMP0376,6.0,Timothy Watson,EMP0376,2,2,2020-12-04,1,2,39,Course 39,102,Beginner,2,,,,
185,22,2019-11-15,Completed,2023-01-13,60,EMP0091,,Craig Friedman,EMP0091,2,2,2020-08-14,2,1,22,Course 22,74,Beginner,2,,,,
186,3,2022-04-08,In Progress,,10,EMP0597,10.0,John Harris,EMP0597,1,2,2020-10-29,1,1,3,Course 3,54,Advanced,2,,,,
187,35,2020-07-13,Completed,2024-01-25,64,EMP0146,2.0,Cynthia Page,EMP0146,1,2,2023-06-23,2,2,35,Course 35,56,Advanced,2,,,,
188,28,2023-03-18,In Progress,,40,EMP0532,,Jesus Rodriguez,EMP0532,2,2,2022-04-27,2,2,28,Course 28,86,Beginner,2,,,,
189,6,2024-09-12,Completed,2024-10-06,63,EMP1000,,Katherine Rodriguez DVM,EMP1000,2,1,2021-09-09,1,2,6,Course 6,37,Advanced,2,559.0,68h,75.79,2.0
190,49,2022-08-19,In Progress,,50,EMP0934,6.0,Kristen Bryant,EMP0934,2,1,2023-07-02,1,1,49,Course 49,62,Beginner,2,,,,
191,45,2024-02-29,Completed,2024-05-21,58,EMP0492,3.0,Melanie Benjamin DVM,EMP0492,2,1,2022-04-01,1,2,45,Course 45,51,Intermediate,2,,,,
192,15,2022-04-15,Completed,2022-05-16,63,EMP0604,,Hunter Galloway,EMP0604,2,2,2023-05-01,2,2,15,Course 15,41,Advanced,1,528.0,20h,89.65,1.0
193,17,2024-01-08,Completed,2024-05-17,76,EMP0702,6.0,Erica Fritz,EMP0702,2,2,2022-09-20,1,1,17,Course 17,45,Intermediate,2,,,,
194,33,2024-03-03,Completed,2024-03-28,96,EMP0044,2.0,Maria Hancock,EMP0044,1,2,2023-02-28,1,1,33,Course 33,74,Advanced,2,,,,
195,23,2020-08-29,Completed,2023-01-20,60,EMP0602,,Jessica Simpson,EMP0602,2,2,2022-01-26,2,1,23,Course 23,41,Intermediate,1,,,,
196,19,2021-05-23,In Progress,,16,EMP0491,8.0,Gabriel Carter,EMP0491,2,1,2024-06-21,2,2,19,Course 19,86,Intermediate,1,,,,
197,31,2021-12-06,Completed,2022-11-26,84,EMP0556,4.0,Benjamin Welch,EMP0556,1,2,2022-10-22,2,1,31,Course 31,57,Intermediate,1,,,,
198,38,2021-09-20,In Progress,,45,EMP0920,,Lori Doyle,EMP0920,2,1,2021-03-13,2,1,38,Course 38,72,Beginner,2,,,,
199,20,2021-01-27,In Progress,,4,EMP0658,10.0,Monique Ortiz,EMP0658,2,1,2020-10-17,1,1,20,Course 20,53,Intermediate,2,,,,
200,3,2020-12-27,Completed,2021-03-01,98,EMP0147,,Deborah Ellis DDS,EMP0147,1,2,2021-07-02,2,1,3,Course 3,54,Advanced,2,,,,
201,3,2022-05-07,Completed,2022-07-13,90,EMP0042,2.0,Kathy Lozano,EMP0042,2,1,2022-06-16,1,2,3,Course 3,54,Advanced,2,,,,
202,36,2021-08-05,In Progress,,37,EMP0148,,Raymond Vaughan,EMP0148,2,1,2023-03-25,2,1,36,Course 36,36,Beginner,2,,,,
203,1,2022-09-25,Completed,2024-07-17,84,EMP0564,,Jason Jimenez,EMP0564,2,1,2023-03-11,2,1,1,Course 1,107,Intermediate,2,,,,
204,35,2023-11-14,Completed,2024-02-26,75,EMP0595,7.0,Alejandra Gregory,EMP0595,1,1,2023-10-22,2,2,35,Course 35,56,Advanced,2,,,,
205,44,2024-08-26,In Progress,,0,EMP0004,,Terry Boyer,EMP0004,1,1,2020-07-24,2,1,44,Course 44,70,Beginner,1,,,,
206,19,2021-05-13,In Progress,,11,EMP0270,,Mr. Michael Jones,EMP0270,2,2,2024-01-03,2,2,19,Course 19,86,Intermediate,1,,,,
207,47,2021-08-03,Completed,2022-07-29,66,EMP0819,1.0,Mark Estrada,EMP0819,1,2,2020-01-07,1,1,47,Course 47,88,Intermediate,1,,,,
208,39,2023-06-18,Completed,2024-04-06,96,EMP0292,,Louis Mason,EMP0292,1,2,2020-09-08,2,2,39,Course 39,102,Beginner,2,,,,
209,24,2024-01-30,Completed,2024-07-24,51,EMP0552,2.0,Lisa Hines,EMP0552,2,1,2021-10-14,2,1,24,Course 24,115,Advanced,1,,,,
210,9,2021-04-18,In Progress,,37,EMP0275,,Marcus Sampson,EMP0275,2,1,2023-01-19,1,2,9,Course 9,47,Advanced,2,,,,
211,43,2023-11-28,In Progress,,20,EMP0108,,Keith Burton,EMP0108,2,1,2022-03-25,2,2,43,Course 43,115,Intermediate,1,,,,
212,20,2020-12-25,Completed,2020-12-29,82,EMP0524,9.0,Stacey Bailey,EMP0524,1,2,2020-02-08,1,1,20,Course 20,53,Intermediate,2,,,,
213,25,2021-08-28,In Progress,,19,EMP0599,7.0,Destiny Ray,EMP0599,1,1,2022-09-01,1,1,25,Course 25,83,Advanced,1,,,,
214,33,2021-07-23,Completed,2023-10-23,60,EMP0352,,Cheryl Lara,EMP0352,1,1,2020-08-27,1,1,33,Course 33,74,Advanced,2,,,,
215,7,2021-09-04,In Progress,,21,EMP0756,1.0,Christine Harrison,EMP0756,2,1,2023-10-09,1,1,7,Course 7,77,Beginner,1,,,,
216,43,2020-02-29,Completed,2022-12-31,57,EMP0135,4.0,Brian Wells,EMP0135,1,1,2022-05-31,1,2,43,Course 43,115,Intermediate,1,,,,
217,26,2022-04-28,In Progress,,48,EMP0398,,Allison Figueroa,EMP0398,1,2,2020-07-28,1,2,26,Course 26,110,Beginner,2,,,,
218,42,2021-05-01,Completed,2024-06-25,73,EMP0500,5.0,Jennifer Booth,EMP0500,2,1,2023-04-24,2,1,42,Course 42,61,Beginner,2,,,,
219,35,2020-06-14,In Progress,,18,EMP0274,,Michelle Holmes,EMP0274,1,1,2022-09-04,2,2,35,Course 35,56,Advanced,2,,,,
220,20,2023-06-18,Completed,2024-09-23,68,EMP0665,4.0,Karen Wilson,EMP0665,2,2,2022-10-28,2,1,20,Course 20,53,Intermediate,2,,,,
221,31,2020-11-16,In Progress,,50,EMP0745,,James Hobbs,EMP0745,1,2,2021-10-30,1,1,31,Course 31,57,Intermediate,1,,,,
222,20,2021-12-12,In Progress,,24,EMP0221,,Cynthia West,EMP0221,2,1,2024-02-14,2,1,20,Course 20,53,Intermediate,2,,,,
223,28,2024-10-11,In Progress,,37,EMP0957,,Charles Perez,EMP0957,2,2,2021-05-31,2,1,28,Course 28,86,Beginner,2,,,,
224,31,2021-08-18,Completed,2023-12-16,60,EMP0370,7.0,Timothy Howard,EMP0370,2,2,2023-10-09,2,2,31,Course 31,57,Intermediate,1,,,,
225,8,2020-06-11,Completed,2020-08-26,96,EMP0622,10.0,Kimberly Pineda,EMP0622,2,2,2023-10-07,1,1,8,Course 8,110,Advanced,1,,,,
226,5,2024-07-19,In Progress,,37,EMP0742,4.0,Matthew Brown,EMP0742,2,1,2020-05-13,2,2,5,Course 5,50,Beginner,1,,,,
227,21,2023-03-12,Completed,2023-11-23,93,EMP0641,,Mary Osborn,EMP0641,1,1,2024-07-16,1,1,21,Course 21,109,Intermediate,1,,,,
228,20,2023-05-08,In Progress,,5,EMP0855,,Mark Cruz,EMP0855,1,1,2024-06-22,1,2,20,Course 20,53,Intermediate,2,,,,
229,45,2023-04-29,In Progress,,43,EMP0467,,Eric Williams,EMP0467,1,2,2023-05-01,2,2,45,Course 45,51,Intermediate,2,,,,
230,29,2020-07-07,In Progress,,33,EMP0470,9.0,Jessica Wilcox,EMP0470,1,2,2022-06-03,1,2,29,Course 29,92,Advanced,2,,,,
231,2,2023-09-24,Completed,2024-06-04,59,EMP0705,,Rose Scott,EMP0705,2,1,2023-02-02,2,2,2,Course 2,102,Advanced,2,,,,
232,39,2020-04-09,In Progress,,38,EMP0121,,Veronica Baker,EMP0121,2,1,2022-05-23,1,1,39,Course 39,102,Beginner,2,,,,
233,34,2020-08-05,Completed,2022-07-29,53,EMP0133,5.0,Ricky Moore,EMP0133,2,2,2023-03-25,2,2,34,Course 34,81,Advanced,1,,,,
234,19,2022-10-10,Completed,2023-01-22,59,EMP0039,10.0,James Fisher,EMP0039,1,2,2019-10-30,1,1,19,Course 19,86,Intermediate,1,,,,
235,40,2024-07-15,In Progress,,28,EMP0062,2.0,Erika Carey,EMP0062,1,1,2021-04-10,2,1,40,Course 40,68,Beginner,2,,,,
236,50,2023-03-25,In Progress,,25,EMP0972,,Bianca Fleming,EMP0972,1,2,2021-04-27,1,1,50,Course 50,87,Intermediate,2,,,,
237,1,2022-01-03,In Progress,,44,EMP0471,,Luis Snyder,EMP0471,2,2,2023-11-26,1,1,1,Course 1,107,Intermediate,2,,,,
238,5,2023-10-18,Completed,2024-09-27,62,EMP0142,,Lindsey Gibson,EMP0142,1,2,2022-07-02,1,2,5,Course 5,50,Beginner,1,,,,
239,29,2024-05-07,In Progress,,9,EMP0315,,Melissa Howell,EMP0315,2,1,2022-06-26,1,1,29,Course 29,92,Advanced,2,,,,
240,27,2024-05-11,In Progress,,40,EMP0701,,Rick Hurley,EMP0701,1,2,2019-11-18,2,2,27,Course 27,91,Intermediate,2,,,,
241,9,2020-02-27,In Progress,,9,EMP0142,,Lindsey Gibson,EMP0142,1,2,2022-07-02,1,2,9,Course 9,47,Advanced,2,,,,
242,13,2022-02-10,Completed,2024-05-25,91,EMP0800,7.0,Eduardo Dickson,EMP0800,1,1,2021-02-06,1,2,13,Course 13,54,Beginner,2,,,,
243,8,2023-12-31,Completed,2024-06-23,54,EMP0409,4.0,Jessica Lee,EMP0409,1,1,2024-03-18,1,2,8,Course 8,110,Advanced,1,,,,
244,14,2020-07-30,Completed,2023-04-26,86,EMP0513,,Christian Baker,EMP0513,1,2,2022-11-04,2,2,14,Course 14,118,Beginner,2,,,,
245,37,2023-07-13,Completed,2024-04-29,84,EMP0027,1.0,Michelle Dixon,EMP0027,1,2,2023-10-28,2,2,37,Course 37,92,Advanced,1,,,,
246,39,2020-11-26,In Progress,,6,EMP0197,3.0,Victoria Compton,EMP0197,2,1,2023-08-28,2,1,39,Course 39,102,Beginner,2,,,,
247,23,2021-06-07,Completed,2022-12-03,99,EMP0399,6.0,Charles Bennett,EMP0399,2,2,2022-01-13,2,1,23,Course 23,41,Intermediate,1,,,,
248,3,2022-02-14,In Progress,,20,EMP0047,,Joshua Smith,EMP0047,2,2,2020-10-31,1,2,3,Course 3,54,Advanced,2,,,,
249,2,2021-09-08,In Progress,,28,EMP0587,1.0,Pamela Martinez,EMP0587,1,2,2020-09-05,1,1,2,Course 2,102,Advanced,2,,,,
250,14,2023-11-16,In Progress,,0,EMP0534,,Brittany Johnston,EMP0534,1,1,2020-11-18,2,2,14,Course 14,118,Beginner,2,,,,
251,31,2022-06-07,In Progress,,0,EMP0970,,Kathryn Clark,EMP0970,2,2,2022-10-08,1,2,31,Course 31,57,Intermediate,1,431.0,55h,61.27,2.0
252,44,2020-07-02,In Progress,,5,EMP0771,,Christopher Evans,EMP0771,1,1,2021-03-29,1,1,44,Course 44,70,Beginner,1,,,,
253,40,2022-10-21,In Progress,,23,EMP0447,,Christina Best,EMP0447,1,1,2023-10-23,2,1,40,Course 40,68,Beginner,2,,,,
254,5,2023-01-15,In Progress,,47,EMP0016,10.0,Daniel Phillips,EMP0016,1,1,2024-03-19,1,2,5,Course 5,50,Beginner,1,,,,
255,16,2020-10-25,Completed,2023-03-28,52,EMP0319,10.0,Amy Olson,EMP0319,1,2,2020-09-06,1,2,16,Course 16,51,Advanced,1,,,,
256,11,2021-01-31,In Progress,,28,EMP0529,9.0,Jaime Johnson,EMP0529,1,1,2023-06-04,2,1,11,Course 11,42,Beginner,1,,,,
257,19,2020-11-03,Completed,2023-09-13,54,EMP0804,,Stephanie Silva,EMP0804,1,2,2021-12-01,2,1,19,Course 19,86,Intermediate,1,,,,
258,10,2024-07-13,Completed,2024-08-11,53,EMP0559,,Katherine Bailey,EMP0559,1,1,2024-01-07,1,2,10,Course 10,88,Advanced,2,,,,
259,16,2022-05-22,In Progress,,14,EMP0014,10.0,Christina Hernandez,EMP0014,1,2,2020-06-29,1,2,16,Course 16,51,Advanced,1,,,,
260,32,2024-05-08,Completed,2024-05-24,99,EMP0533,,Brenda Smith,EMP0533,2,1,2021-04-26,1,2,32,Course 32,64,Advanced,1,,,,
261,9,2021-01-19,In Progress,,35,EMP0909,,Brenda Simpson,EMP0909,2,2,2021-08-20,2,2,9,Course 9,47,Advanced,2,,,,
262,37,2023-05-05,In Progress,,18,EMP0639,3.0,Curtis King,EMP0639,1,1,2024-08-05,1,2,37,Course 37,92,Advanced,1,,,,
263,14,2024-01-06,In Progress,,39,EMP0595,1.0,Alejandra Gregory,EMP0595,1,1,2023-10-22,2,2,14,Course 14,118,Beginner,2,,,,
264,26,2024-06-13,In Progress,,1,EMP0266,,Kara Frye,EMP0266,1,2,2022-08-03,1,1,26,Course 26,110,Beginner,2,,,,
265,43,2019-10-15,In Progress,,13,EMP0120,,Thomas Singh,EMP0120,2,2,2020-07-07,2,1,43,Course 43,115,Intermediate,1,,,,
266,40,2020-06-09,Completed,2022-01-29,94,EMP0736,5.0,Hannah Collier,EMP0736,1,1,2019-11-27,2,1,40,Course 40,68,Beginner,2,,,,
267,16,2023-10-31,Completed,2024-06-30,59,EMP0115,3.0,John Gomez,EMP0115,1,1,2021-01-10,2,1,16,Course 16,51,Advanced,1,,,,
268,40,2023-12-03,Completed,2024-01-04,53,EMP0435,,Angela Arnold,EMP0435,1,1,2021-12-03,1,1,40,Course 40,68,Beginner,2,,,,
269,16,2019-12-20,Completed,2024-09-27,81,EMP0255,8.0,Jennifer Davis,EMP0255,1,1,2019-12-24,2,1,16,Course 16,51,Advanced,1,,,,
270,20,2019-11-13,In Progress,,5,EMP0048,1.0,Brandon Mahoney,EMP0048,2,1,2022-11-16,1,1,20,Course 20,53,Intermediate,2,,,,
271,9,2022-05-15,In Progress,,25,EMP0026,,Emily Serrano,EMP0026,1,1,2020-07-07,1,1,9,Course 9,47,Advanced,2,,,,
272,49,2022-12-06,In Progress,,24,EMP0357,,Joseph Owen,EMP0357,2,1,2021-10-09,1,1,49,Course 49,62,Beginner,2,,,,
273,43,2022-07-23,In Progress,,47,EMP0001,1.0,Karla Shepherd,EMP0001,1,2,2022-02-23,2,2,43,Course 43,115,Intermediate,1,,,,
274,7,2021-02-22,Completed,2021-12-22,95,EMP0659,,Angela Chavez,EMP0659,2,2,2023-01-14,2,1,7,Course 7,77,Beginner,1,,,,
275,11,2023-04-29,In Progress,,24,EMP0774,,Eric Wilson,EMP0774,1,1,2020-03-05,1,2,11,Course 11,42,Beginner,1,,,,
276,43,2024-05-07,In Progress,,28,EMP0068,7.0,Brandon Cantu,EMP0068,1,1,2023-11-13,2,1,43,Course 43,115,Intermediate,1,,,,
277,26,2020-08-03,Completed,2022-11-12,83,EMP0673,,Sydney Ferguson,EMP0673,2,2,2022-12-26,2,2,26,Course 26,110,Beginner,2,,,,
278,21,2023-11-14,Completed,2024-08-23,50,EMP0841,9.0,Mrs. Melanie Singh,EMP0841,2,2,2020-11-26,2,2,21,Course 21,109,Intermediate,1,,,,
279,17,2020-09-08,In Progress,,31,EMP0977,,Katherine Miller,EMP0977,1,1,2021-09-27,2,2,17,Course 17,45,Intermediate,2,,,,
280,4,2024-01-05,Completed,2024-06-18,92,EMP0949,,Marissa Jenkins,EMP0949,1,2,2020-05-21,1,2,4,Course 4,55,Intermediate,2,,,,
281,18,2021-11-17,In Progress,,40,EMP0891,,Eddie Johnson,EMP0891,2,1,2022-08-01,1,2,18,Course 18,68,Advanced,2,,,,
282,45,2023-09-30,Completed,2024-01-15,52,EMP0453,,Valerie Castillo,EMP0453,2,1,2023-09-11,2,2,45,Course 45,51,Intermediate,2,,,,
283,43,2020-06-02,In Progress,,27,EMP0010,,Cynthia Cooper,EMP0010,2,1,2023-01-06,2,2,43,Course 43,115,Intermediate,1,,,,
284,42,2024-08-02,In Progress,,15,EMP0891,9.0,Eddie Johnson,EMP0891,2,1,2022-08-01,1,2,42,Course 42,61,Beginner,2,,,,
285,35,2021-05-21,In Progress,,9,EMP0754,5.0,Christopher Payne,EMP0754,2,1,2023-09-11,1,2,35,Course 35,56,Advanced,2,,,,
286,44,2020-08-28,In Progress,,34,EMP0097,1.0,Amy Wright,EMP0097,2,2,2024-06-24,2,2,44,Course 44,70,Beginner,1,,,,
287,42,2024-06-30,Completed,2024-09-20,88,EMP0803,4.0,Sherry Hartman,EMP0803,1,1,2021-11-24,2,2,42,Course 42,61,Beginner,2,,,,
288,29,2023-03-29,In Progress,,2,EMP0761,7.0,Erin Young,EMP0761,2,1,2024-07-14,2,1,29,Course 29,92,Advanced,2,,,,
289,24,2024-07-01,In Progress,,6,EMP0399,10.0,Charles Bennett,EMP0399,2,2,2022-01-13,2,1,24,Course 24,115,Advanced,1,,,,
290,16,2023-07-20,Completed,2024-03-06,68,EMP0006,,Christopher Austin,EMP0006,1,1,2020-05-26,2,1,16,Course 16,51,Advanced,1,,,,
291,44,2019-10-30,Completed,2024-04-07,65,EMP0877,,Tammy James,EMP0877,1,1,2021-05-24,2,1,44,Course 44,70,Beginner,1,,,,
292,15,2021-07-11,Completed,2022-11-14,84,EMP0063,10.0,Kathryn Beltran,EMP0063,1,1,2021-10-09,1,2,15,Course 15,41,Advanced,1,,,,
293,16,2022-08-23,In Progress,,20,EMP0159,,Brent Walters,EMP0159,2,1,2023-11-10,1,1,16,Course 16,51,Advanced,1,,,,
294,44,2020-08-29,Completed,2021-01-19,71,EMP0111,,Kristy Wilkins,EMP0111,1,1,2022-01-11,2,1,44,Course 44,70,Beginner,1,,,,
295,4,2023-09-01,In Progress,,15,EMP0986,,John Mccann,EMP0986,1,1,2021-04-19,2,1,4,Course 4,55,Intermediate,2,,,,
296,22,2023-07-19,Completed,2024-05-16,55,EMP0579,6.0,Darlene Henderson,EMP0579,1,1,2022-10-24,2,2,22,Course 22,74,Beginner,2,,,,
297,36,2022-03-07,In Progress,,32,EMP0487,,Michelle Ayala,EMP0487,1,1,2024-05-27,2,2,36,Course 36,36,Beginner,2,,,,
298,15,2024-06-25,Completed,2024-10-04,81,EMP0991,10.0,Samantha Middleton,EMP0991,2,2,2024-05-16,1,1,15,Course 15,41,Advanced,1,,,,
299,3,2020-01-15,In Progress,,48,EMP0776,,Christopher Mack,EMP0776,1,1,2023-04-30,2,2,3,Course 3,54,Advanced,2,,,,
300,6,2021-09-22,In Progress,,46,EMP0243,1.0,Yvonne Kirk,EMP0243,1,2,2020-02-03,2,1,6,Course 6,37,Advanced,2,,,,
301,13,2021-11-18,Completed,2023-11-14,70,EMP0169,2.0,Andrew Smith,EMP0169,2,2,2022-10-24,2,1,13,Course 13,54,Beginner,2,,,,
302,2,2021-05-20,Completed,2023-10-14,88,EMP0935,4.0,Aaron Ruiz,EMP0935,2,1,2020-02-16,1,2,2,Course 2,102,Advanced,2,,,,
303,4,2023-07-17,In Progress,,9,EMP0971,6.0,Julia Perez,EMP0971,1,1,2023-10-16,2,2,4,Course 4,55,Intermediate,2,,,,
304,40,2021-04-11,In Progress,,5,EMP0462,10.0,Crystal Oliver,EMP0462,2,2,2022-03-20,1,1,40,Course 40,68,Beginner,2,,,,
305,39,2022-01-02,In Progress,,5,EMP0652,1.0,Jamie Perez,EMP0652,1,1,2024-04-08,2,2,39,Course 39,102,Beginner,2,,,,
306,12,2022-11-19,In Progress,,36,EMP0032,,John Blackwell,EMP0032,2,2,2021-07-27,2,2,12,Course 12,114,Advanced,1,,,,
307,28,2020-03-23,Completed,2021-09-03,59,EMP0299,1.0,Kimberly Lam,EMP0299,2,1,2023-03-20,2,1,28,Course 28,86,Beginner,2,,,,
308,21,2021-11-18,In Progress,,36,EMP0111,4.0,Kristy Wilkins,EMP0111,1,1,2022-01-11,2,1,21,Course 21,109,Intermediate,1,,,,
309,47,2021-05-07,In Progress,,13,EMP0245,6.0,George Anderson,EMP0245,2,1,2023-09-30,1,1,47,Course 47,88,Intermediate,1,,,,
310,10,2020-03-25,Completed,2020-10-14,57,EMP0108,7.0,Keith Burton,EMP0108,2,1,2022-03-25,2,2,10,Course 10,88,Advanced,2,,,,
311,24,2020-06-30,In Progress,,50,EMP0782,,Janice Kemp,EMP0782,2,2,2021-11-02,2,2,24,Course 24,115,Advanced,1,,,,
312,1,2024-07-14,Completed,2024-09-06,100,EMP0766,2.0,Jennifer James,EMP0766,1,2,2024-06-17,1,1,1,Course 1,107,Intermediate,2,,,,
313,9,2024-02-28,Completed,2024-09-26,86,EMP0956,8.0,Christopher Wright,EMP0956,2,2,2021-10-19,1,1,9,Course 9,47,Advanced,2,,,,
314,36,2021-11-07,In Progress,,45,EMP0515,,Kevin Smith,EMP0515,1,2,2021-12-21,2,2,36,Course 36,36,Beginner,2,,,,
315,26,2021-08-22,In Progress,,4,EMP0873,,Troy Taylor,EMP0873,1,1,2021-07-18,2,1,26,Course 26,110,Beginner,2,199.0,73h,94.7,2.0
316,16,2024-03-30,In Progress,,29,EMP0336,3.0,Brianna Johnson,EMP0336,1,1,2021-06-28,1,1,16,Course 16,51,Advanced,1,,,,
317,2,2024-09-14,Completed,2024-09-17,90,EMP0091,4.0,Craig Friedman,EMP0091,2,2,2020-08-14,2,1,2,Course 2,102,Advanced,2,,,,
318,43,2024-01-15,In Progress,,3,EMP0338,6.0,Michael Stokes,EMP0338,2,2,2020-10-11,1,2,43,Course 43,115,Intermediate,1,,,,
319,27,2023-03-28,In Progress,,17,EMP0251,,Lauren Johnson,EMP0251,1,2,2024-10-11,2,2,27,Course 27,91,Intermediate,2,,,,
320,36,2020-05-14,Completed,2023-03-16,60,EMP0180,8.0,Matthew Owens,EMP0180,2,2,2024-04-04,1,1,36,Course 36,36,Beginner,2,,,,
321,20,2024-06-16,In Progress,,38,EMP0346,,Terry Lucero,EMP0346,1,1,2023-09-19,1,2,20,Course 20,53,Intermediate,2,,,,
322,5,2020-04-25,In Progress,,47,EMP0871,7.0,Michael Bennett,EMP0871,2,2,2022-11-18,1,2,5,Course 5,50,Beginner,1,,,,
323,39,2021-07-28,Completed,2024-02-27,94,EMP0198,,William Scott,EMP0198,2,2,2022-08-17,1,2,39,Course 39,102,Beginner,2,,,,
324,9,2022-02-04,Completed,2023-08-24,70,EMP0364,7.0,Jennifer Calhoun,EMP0364,2,1,2022-09-21,1,2,9,Course 9,47,Advanced,2,,,,
325,33,2023-02-20,Completed,2024-03-11,96,EMP0129,,Heidi Odom,EMP0129,2,1,2020-11-12,2,1,33,Course 33,74,Advanced,2,,,,
326,14,2019-11-09,Completed,2024-01-17,76,EMP0523,5.0,James Mendoza,EMP0523,2,2,2019-12-28,1,1,14,Course 14,118,Beginner,2,,,,
327,1,2019-11-06,In Progress,,29,EMP0213,,Rita Diaz,EMP0213,2,1,2019-11-04,2,1,1,Course 1,107,Intermediate,2,,,,
328,48,2024-01-02,In Progress,,15,EMP0484,,Sandra Walls,EMP0484,1,1,2019-11-01,2,1,48,Course 48,37,Advanced,1,,,,
329,17,2024-01-05,In Progress,,28,EMP0403,,Hailey Chavez,EMP0403,2,2,2021-09-08,1,1,17,Course 17,45,Intermediate,2,,,,
330,8,2019-10-14,In Progress,,11,EMP0754,2.0,Christopher Payne,EMP0754,2,1,2023-09-11,1,2,8,Course 8,110,Advanced,1,,,,
331,40,2024-07-01,Completed,2024-08-24,64,EMP0953,4.0,James Miles,EMP0953,1,2,2020-02-22,1,1,40,Course 40,68,Beginner,2,,,,
332,46,2023-09-29,In Progress,,9,EMP0992,1.0,Nicole Bradley,EMP0992,1,1,2023-12-21,2,1,46,Course 46,110,Intermediate,1,,,,
333,38,2022-06-19,In Progress,,43,EMP0692,3.0,Thomas Peterson,EMP0692,1,1,2024-09-26,2,1,38,Course 38,72,Beginner,2,,,,
334,14,2023-02-22,Completed,2024-07-08,74,EMP0593,2.0,Joel Walker,EMP0593,2,1,2021-11-03,1,2,14,Course 14,118,Beginner,2,,,,
335,21,2024-01-09,Completed,2024-09-01,55,EMP0307,9.0,Brendan Moody,EMP0307,2,2,2023-06-22,2,2,21,Course 21,109,Intermediate,1,,,,
336,10,2020-12-17,Completed,2021-07-10,89,EMP0928,2.0,Betty Warren,EMP0928,2,2,2023-04-24,2,1,10,Course 10,88,Advanced,2,14.0,23h,84.85,2.0
337,10,2022-01-25,In Progress,,39,EMP0755,10.0,Christopher Mcbride,EMP0755,2,2,2022-05-22,1,2,10,Course 10,88,Advanced,2,,,,
338,32,2020-03-01,In Progress,,22,EMP0084,3.0,Anthony Gomez,EMP0084,1,2,2023-01-10,1,1,32,Course 32,64,Advanced,1,,,,
339,5,2023-09-06,Completed,2023-09-15,92,EMP0675,,Scott Garcia,EMP0675,2,1,2020-10-11,2,1,5,Course 5,50,Beginner,1,,,,
340,14,2024-10-02,In Progress,,18,EMP0505,2.0,Alice Price,EMP0505,1,2,2022-11-08,2,1,14,Course 14,118,Beginner,2,,,,
341,4,2022-05-27,In Progress,,11,EMP0507,3.0,Melanie Ryan,EMP0507,2,1,2024-07-11,2,1,4,Course 4,55,Intermediate,2,,,,
342,49,2022-08-29,Completed,2022-09-17,95,EMP0623,9.0,Clayton Robinson,EMP0623,1,1,2021-09-13,2,2,49,Course 49,62,Beginner,2,,,,
343,46,2023-01-29,Completed,2023-12-06,54,EMP0672,,Jonathan Hill,EMP0672,1,1,2021-03-09,2,1,46,Course 46,110,Intermediate,1,,,,
344,39,2023-10-19,In Progress,,1,EMP0247,3.0,Lisa Mitchell,EMP0247,1,2,2022-03-17,1,2,39,Course 39,102,Beginner,2,,,,
345,25,2020-12-02,In Progress,,25,EMP0524,,Stacey Bailey,EMP0524,1,2,2020-02-08,1,1,25,Course 25,83,Advanced,1,,,,
